"TrialDescription","GasMeasured","EmissionMeasTechnique","Country","InstituteName","AnimalCategory","ManureType","ManureTreatment","ApplicStartDate","ReplicateNumber","Latitude","Longitude","InhibitorType","ManureDM","ManureTotalN","ManureTAN","ManureRAN","ManureOrgC","ManureCNRatio","ManurePH","ManureApplicRate","ManureApplicRateUnit","ManureTNApplicRate","ManureTANApplicRate","ManureRANApplicRate","ManureApplicSeason","ManureApplicMethod","ManureSoilIncorporation","NH3TimeOfIncorporation","DurationOfEmissionMeasurement","CumulatEmission","EmissionFactor","SoilNH4","SoilNO3","SoilTotalNitrogen","SoilOrganicCarbon","SoilPH","SoilBulkDensity","SoilClay","SoilTexture","SoilWaterUnit","SoilWaterDay1Avg","SoilWaterFirst30dAvg","SoilWaterEntireExptAvg","NH3AirTemperature24hAvg","AirTemperatureFirst30dAvg","AirTemperatureEntireExptAvg","RainfallIrrigation30d","TotalRainfallIrrigationEntireExpt","NH3CumulEmission72h","NH3CropHeight","NH3WindSpeed12h","NH3WindSpeed3d","NH3WindSpeedHeight","NH3RainIrrigation1h","NH3RainIrrigation6h","AnimalSubCategory","DietDMContent","DietLipidContent","DietAshContent","DryMatterIntake","CrudeProtein","CrudeFibre","NDFContent","OMDigestibilityCoefficient","MultiphaseFeeding","Diet","SwineFeedType","ForageSpecies","ForageDMContent","ConcentrateType","ConcentrateDM","ProportionOfConcentrateInDiet","NitrogenDigestibilityCoefficient","NDFDigestibilityCoefficient","CH4Enteric","DatabaseId","ClimateZone","AnimalBreed","TypeOfBeddingMaterial","RateOfInhibitorApplicUnit","RateOfInhibitorApplic","ManureDurationOfStorage","SoilDepthMineralN","SoilDepthOther","CropType","CropYieldDryMatter","CropTotalYieldUnit","CropTotalYield","CropTotalN","NameEntryPerson","DateEntryCompleted","NameQCPersonIfRelevant","OnlineLinkPaper","Reference","QCCommentsIfRelevant","QCDateCompleted","StartGasMeasurements","EndGasMeasurements","NumberOfMeasurements","N2OChambersPerPlot ","N2OChamberArea","N2OGasSamplesPerChamber","NumberOfReplicates","IfMeanWhatVariationUnit","DegreeOfVariation","DescribeStatMethodUsed","SourceOfData","Comments"
"1_DR_p1","NH3","windtunnel","UK","ADAS","Swine","slurry","none",,"1",,,,4.74,4.76,3.19,,,,7.17,40,"t/ha",190.4,127.6,,,"broadcast","none",,3.91595833333333,16.559,0.0869695378151261,,,,2.58,7.9,,61.5,"clay",,,,,19.689,,17.23,,,15.695,,0.82301,0.82301,2,,,,,,,,,,,,,,,,,,,,,,,1,,,"none",,,,,,,,,,,"Sasha D. Hafner","2019-10-17",,"https://www.sciencedirect.com/science/article/pii/S0168192317304008","Hafner, S.D., Pacholski, A., Bittman, S., Burchill, W., Bussink, W., Chantigny, M., Carozzi, M., Génermont, S., Häni, C., Hansen, M.N., Huijsmans, J., Hunt, D., Kupper, T., Lanigan, G., Loubet, B., Misselbrook, T., Meisinger, J.J., Neftel, A., Nyord, T., Pedersen, S.V., Sintermann, J., Thompson, R.B., Vermeulen, B., Vestergaard, A.V., Voylokov, P., Williams, J.R., Sommer, S.G., 2018. The ALFAM2 database on ammonia emission from field-applied manure: Description and illustrative analysis. Agricultural and Forest Meteorology, Greenhouse gas and ammonia emissions from livestock production 258, 66–79. https://doi.org/10.1016/j.agrformet.2017.11.027",,,,,7,,,,1,,,,"dataset+publication","Data from ALFAM2 database v1.3."
"1_DR_p1","NH3","windtunnel","UK","ADAS","Swine","slurry","none",,"5",,,,4.74,4.76,3.19,,,,7.17,40,"t/ha",190.4,127.6,,,"broadcast","none",,3.91595833333333,103.26,0.542331932773109,,,,2.58,7.9,,61.5,"clay",,,,,19.689,,17.23,,,99.933,,6.6005,6.6005,2,,,,,,,,,,,,,,,,,,,,,,,2,,,"none",,,,,,,,,,,"Sasha D. Hafner","2019-10-17",,"https://www.sciencedirect.com/science/article/pii/S0168192317304008","Hafner, S.D., Pacholski, A., Bittman, S., Burchill, W., Bussink, W., Chantigny, M., Carozzi, M., Génermont, S., Häni, C., Hansen, M.N., Huijsmans, J., Hunt, D., Kupper, T., Lanigan, G., Loubet, B., Misselbrook, T., Meisinger, J.J., Neftel, A., Nyord, T., Pedersen, S.V., Sintermann, J., Thompson, R.B., Vermeulen, B., Vestergaard, A.V., Voylokov, P., Williams, J.R., Sommer, S.G., 2018. The ALFAM2 database on ammonia emission from field-applied manure: Description and illustrative analysis. Agricultural and Forest Meteorology, Greenhouse gas and ammonia emissions from livestock production 258, 66–79. https://doi.org/10.1016/j.agrformet.2017.11.027",,,,,7,,,,1,,,,"dataset+publication","Data from ALFAM2 database v1.3."
"1_DR_p1","NH3","windtunnel","UK","ADAS","Swine","slurry","none",,"3",,,,4.74,4.76,3.19,,,,7.17,40,"t/ha",190.4,127.6,,,"broadcast","none",,3.91595833333333,23.368,0.122731092436975,,,,2.58,7.9,,61.5,"clay",,,,,19.689,,17.23,,,22.34,,3.1274,3.1274,2,,,,,,,,,,,,,,,,,,,,,,,3,,,"none",,,,,,,,,,,"Sasha D. Hafner","2019-10-17",,"https://www.sciencedirect.com/science/article/pii/S0168192317304008","Hafner, S.D., Pacholski, A., Bittman, S., Burchill, W., Bussink, W., Chantigny, M., Carozzi, M., Génermont, S., Häni, C., Hansen, M.N., Huijsmans, J., Hunt, D., Kupper, T., Lanigan, G., Loubet, B., Misselbrook, T., Meisinger, J.J., Neftel, A., Nyord, T., Pedersen, S.V., Sintermann, J., Thompson, R.B., Vermeulen, B., Vestergaard, A.V., Voylokov, P., Williams, J.R., Sommer, S.G., 2018. The ALFAM2 database on ammonia emission from field-applied manure: Description and illustrative analysis. Agricultural and Forest Meteorology, Greenhouse gas and ammonia emissions from livestock production 258, 66–79. https://doi.org/10.1016/j.agrformet.2017.11.027",,,,,7,,,,1,,,,"dataset+publication","Data from ALFAM2 database v1.3."
"1_DR_p1","NH3","windtunnel","UK","ADAS","Swine","slurry","none",,"4",,,,4.74,4.76,3.19,,,,7.17,40,"t/ha",190.4,127.6,,,"broadcast","none",,3.91595833333333,58.685,0.308219537815126,,,,2.58,7.9,,61.5,"clay",,,,,19.689,,17.23,,,55.506,,4.8064,4.8064,2,,,,,,,,,,,,,,,,,,,,,,,4,,,"none",,,,,,,,,,,"Sasha D. Hafner","2019-10-17",,"https://www.sciencedirect.com/science/article/pii/S0168192317304008","Hafner, S.D., Pacholski, A., Bittman, S., Burchill, W., Bussink, W., Chantigny, M., Carozzi, M., Génermont, S., Häni, C., Hansen, M.N., Huijsmans, J., Hunt, D., Kupper, T., Lanigan, G., Loubet, B., Misselbrook, T., Meisinger, J.J., Neftel, A., Nyord, T., Pedersen, S.V., Sintermann, J., Thompson, R.B., Vermeulen, B., Vestergaard, A.V., Voylokov, P., Williams, J.R., Sommer, S.G., 2018. The ALFAM2 database on ammonia emission from field-applied manure: Description and illustrative analysis. Agricultural and Forest Meteorology, Greenhouse gas and ammonia emissions from livestock production 258, 66–79. https://doi.org/10.1016/j.agrformet.2017.11.027",,,,,7,,,,1,,,,"dataset+publication","Data from ALFAM2 database v1.3."
"1_DR_p1","NH3","windtunnel","UK","ADAS","Swine","slurry","none",,"2",,,,4.74,4.76,3.19,,,,7.17,40,"t/ha",190.4,127.6,,,"broadcast","none",,3.91595833333333,19.94,0.104726890756303,,,,2.58,7.9,,61.5,"clay",,,,,19.689,,17.23,,,19.224,,1.465,1.465,2,,,,,,,,,,,,,,,,,,,,,,,5,,,"none",,,,,,,,,,,"Sasha D. Hafner","2019-10-17",,"https://www.sciencedirect.com/science/article/pii/S0168192317304008","Hafner, S.D., Pacholski, A., Bittman, S., Burchill, W., Bussink, W., Chantigny, M., Carozzi, M., Génermont, S., Häni, C., Hansen, M.N., Huijsmans, J., Hunt, D., Kupper, T., Lanigan, G., Loubet, B., Misselbrook, T., Meisinger, J.J., Neftel, A., Nyord, T., Pedersen, S.V., Sintermann, J., Thompson, R.B., Vermeulen, B., Vestergaard, A.V., Voylokov, P., Williams, J.R., Sommer, S.G., 2018. The ALFAM2 database on ammonia emission from field-applied manure: Description and illustrative analysis. Agricultural and Forest Meteorology, Greenhouse gas and ammonia emissions from livestock production 258, 66–79. https://doi.org/10.1016/j.agrformet.2017.11.027",,,,,7,,,,1,,,,"dataset+publication","Data from ALFAM2 database v1.3."
"1_DR_p1","NH3","windtunnel","UK","ADAS","Swine","slurry","none",,"3",,,,4.74,4.76,3.19,,,,7.17,40,"t/ha",190.4,127.6,,,"broadcast","none",,3.91595833333333,35.422,0.186039915966387,,,,2.58,7.9,,61.5,"clay",,,,,19.689,,17.23,,,33.925,,3.2097,3.2097,2,,,,,,,,,,,,,,,,,,,,,,,6,,,"none",,,,,,,,,,,"Sasha D. Hafner","2019-10-17",,"https://www.sciencedirect.com/science/article/pii/S0168192317304008","Hafner, S.D., Pacholski, A., Bittman, S., Burchill, W., Bussink, W., Chantigny, M., Carozzi, M., Génermont, S., Häni, C., Hansen, M.N., Huijsmans, J., Hunt, D., Kupper, T., Lanigan, G., Loubet, B., Misselbrook, T., Meisinger, J.J., Neftel, A., Nyord, T., Pedersen, S.V., Sintermann, J., Thompson, R.B., Vermeulen, B., Vestergaard, A.V., Voylokov, P., Williams, J.R., Sommer, S.G., 2018. The ALFAM2 database on ammonia emission from field-applied manure: Description and illustrative analysis. Agricultural and Forest Meteorology, Greenhouse gas and ammonia emissions from livestock production 258, 66–79. https://doi.org/10.1016/j.agrformet.2017.11.027",,,,,7,,,,1,,,,"dataset+publication","Data from ALFAM2 database v1.3."
"1_DR_p1","NH3","windtunnel","UK","ADAS","Swine","slurry","none",,"4",,,,4.74,4.76,3.19,,,,7.17,40,"t/ha",190.4,127.6,,,"broadcast","none",,3.91595833333333,63.404,0.333004201680672,,,,2.58,7.9,,61.5,"clay",,,,,19.689,,17.23,,,60.61,,4.8228,4.8228,2,,,,,,,,,,,,,,,,,,,,,,,7,,,"none",,,,,,,,,,,"Sasha D. Hafner","2019-10-17",,"https://www.sciencedirect.com/science/article/pii/S0168192317304008","Hafner, S.D., Pacholski, A., Bittman, S., Burchill, W., Bussink, W., Chantigny, M., Carozzi, M., Génermont, S., Häni, C., Hansen, M.N., Huijsmans, J., Hunt, D., Kupper, T., Lanigan, G., Loubet, B., Misselbrook, T., Meisinger, J.J., Neftel, A., Nyord, T., Pedersen, S.V., Sintermann, J., Thompson, R.B., Vermeulen, B., Vestergaard, A.V., Voylokov, P., Williams, J.R., Sommer, S.G., 2018. The ALFAM2 database on ammonia emission from field-applied manure: Description and illustrative analysis. Agricultural and Forest Meteorology, Greenhouse gas and ammonia emissions from livestock production 258, 66–79. https://doi.org/10.1016/j.agrformet.2017.11.027",,,,,7,,,,1,,,,"dataset+publication","Data from ALFAM2 database v1.3."
"1_DR_p1","NH3","windtunnel","UK","ADAS","Swine","slurry","none",,"1",,,,4.74,4.76,3.19,,,,7.17,40,"t/ha",190.4,127.6,,,"broadcast","none",,3.91595833333333,18.574,0.0975525210084034,,,,2.58,7.9,,61.5,"clay",,,,,19.689,,17.23,,,17.498,,0.80655,0.80655,2,,,,,,,,,,,,,,,,,,,,,,,8,,,"none",,,,,,,,,,,"Sasha D. Hafner","2019-10-17",,"https://www.sciencedirect.com/science/article/pii/S0168192317304008","Hafner, S.D., Pacholski, A., Bittman, S., Burchill, W., Bussink, W., Chantigny, M., Carozzi, M., Génermont, S., Häni, C., Hansen, M.N., Huijsmans, J., Hunt, D., Kupper, T., Lanigan, G., Loubet, B., Misselbrook, T., Meisinger, J.J., Neftel, A., Nyord, T., Pedersen, S.V., Sintermann, J., Thompson, R.B., Vermeulen, B., Vestergaard, A.V., Voylokov, P., Williams, J.R., Sommer, S.G., 2018. The ALFAM2 database on ammonia emission from field-applied manure: Description and illustrative analysis. Agricultural and Forest Meteorology, Greenhouse gas and ammonia emissions from livestock production 258, 66–79. https://doi.org/10.1016/j.agrformet.2017.11.027",,,,,7,,,,1,,,,"dataset+publication","Data from ALFAM2 database v1.3."
"1_DR_p1","NH3","windtunnel","UK","ADAS","Swine","slurry","none",,"5",,,,4.74,4.76,3.19,,,,7.17,40,"t/ha",190.4,127.6,,,"broadcast","none",,3.91595833333333,74.546,0.391523109243698,,,,2.58,7.9,,61.5,"clay",,,,,19.689,,17.23,,,71.468,,6.6993,6.6993,2,,,,,,,,,,,,,,,,,,,,,,,9,,,"none",,,,,,,,,,,"Sasha D. Hafner","2019-10-17",,"https://www.sciencedirect.com/science/article/pii/S0168192317304008","Hafner, S.D., Pacholski, A., Bittman, S., Burchill, W., Bussink, W., Chantigny, M., Carozzi, M., Génermont, S., Häni, C., Hansen, M.N., Huijsmans, J., Hunt, D., Kupper, T., Lanigan, G., Loubet, B., Misselbrook, T., Meisinger, J.J., Neftel, A., Nyord, T., Pedersen, S.V., Sintermann, J., Thompson, R.B., Vermeulen, B., Vestergaard, A.V., Voylokov, P., Williams, J.R., Sommer, S.G., 2018. The ALFAM2 database on ammonia emission from field-applied manure: Description and illustrative analysis. Agricultural and Forest Meteorology, Greenhouse gas and ammonia emissions from livestock production 258, 66–79. https://doi.org/10.1016/j.agrformet.2017.11.027",,,,,7,,,,1,,,,"dataset+publication","Data from ALFAM2 database v1.3."
"1_DR_p1","NH3","windtunnel","UK","ADAS","Swine","slurry","none",,"2",,,,4.74,4.76,3.19,,,,7.17,40,"t/ha",190.4,127.6,,,"broadcast","none",,3.91595833333333,39.135,0.205540966386555,,,,2.58,7.9,,61.5,"clay",,,,,19.689,,17.23,,,36.857,,1.5637,1.5637,2,,,,,,,,,,,,,,,,,,,,,,,10,,,"none",,,,,,,,,,,"Sasha D. Hafner","2019-10-17",,"https://www.sciencedirect.com/science/article/pii/S0168192317304008","Hafner, S.D., Pacholski, A., Bittman, S., Burchill, W., Bussink, W., Chantigny, M., Carozzi, M., Génermont, S., Häni, C., Hansen, M.N., Huijsmans, J., Hunt, D., Kupper, T., Lanigan, G., Loubet, B., Misselbrook, T., Meisinger, J.J., Neftel, A., Nyord, T., Pedersen, S.V., Sintermann, J., Thompson, R.B., Vermeulen, B., Vestergaard, A.V., Voylokov, P., Williams, J.R., Sommer, S.G., 2018. The ALFAM2 database on ammonia emission from field-applied manure: Description and illustrative analysis. Agricultural and Forest Meteorology, Greenhouse gas and ammonia emissions from livestock production 258, 66–79. https://doi.org/10.1016/j.agrformet.2017.11.027",,,,,7,,,,1,,,,"dataset+publication","Data from ALFAM2 database v1.3."
