inst,eid,pid,pmid,uptake,proj,exper,exper2,institute,country,submitter,file,first.row.in.file.int,last.row.in.file.int,row.in.file.plot,pub.id,pub.info,lat,long,topo,field,plot,plot.area,treat,rep,rep2,n.ints,t.start.p,t.end.p,dt1,dt.min,dt.max,ct.min,ct.max,meas.tech,meas.tech2,meas.tech.orig,meas.tech.det,j.NH31,j.rel1,e.1,e.4,e.6,e.12,e.24,e.48,e.72,e.96,e.168,e.final,e.cum.1,e.cum.4,e.cum.6,e.cum.12,e.cum.24,e.cum.48,e.cum.72,e.cum.96,e.cum.168,e.cum.final,e.rel.1,e.rel.4,e.rel.6,e.rel.12,e.rel.24,e.rel.48,e.rel.72,e.rel.96,e.rel.168,e.rel.final,clay,silt,sand,oc,soil.type,soil.type2,soil.water,soil.water.v,soil.moist,soil.ph,soil.dens,crop.res,till,air.temp.1,air.temp.4,air.temp.6,air.temp.12,air.temp.24,air.temp.48,air.temp.72,air.temp.96,air.temp.168,air.temp.mn,air.temp.z,soil.temp.1,soil.temp.4,soil.temp.6,soil.temp.12,soil.temp.24,soil.temp.48,soil.temp.72,soil.temp.96,soil.temp.168,soil.temp.mn,soil.temp.surf.1,soil.temp.surf.4,soil.temp.surf.6,soil.temp.surf.12,soil.temp.surf.24,soil.temp.surf.48,soil.temp.surf.72,soil.temp.surf.96,soil.temp.surf.168,soil.temp.surf.mn,soil.temp.z,rad.1,rad.4,rad.6,rad.12,rad.24,rad.48,rad.72,rad.96,rad.168,rad.mn,wind.1,wind.4,wind.6,wind.12,wind.24,wind.48,wind.72,wind.96,wind.168,wind.mn,wind.z,wind.2m.1,wind.2m.4,wind.2m.6,wind.2m.12,wind.2m.24,wind.2m.48,wind.2m.72,wind.2m.96,wind.2m.168,wind.2m.mn,wind.loc,rain.1,rain.4,rain.6,rain.12,rain.24,rain.48,rain.72,rain.96,rain.168,rain.tot,rain.rate.1,rain.rate.4,rain.rate.6,rain.rate.12,rain.rate.24,rain.rate.48,rain.rate.72,rain.rate.96,rain.rate.168,rain.rate.mn,rh.1,rh.4,rh.6,rh.12,rh.24,rh.48,rh.72,rh.96,rh.168,rh.mn,far.loc,man.source,man.source.orig,man.source.det,man.bed,man.con,man.trt1,man.trt2,man.trt3,man.stor,man.dm,man.vs,man.tkn,man.tan,man.vfa,man.tic,man.ua,man.ph,acid,date.start,app.start,app.start.orig,app.end,app.end.orig,app.method,app.method2,app.method.orig,app.rate,tan.app,incorp,incorp.orig,time.incorp,man.area,dist.inj,furrow.z,furrow.w,crop,crop.orig,crop.z,crop.area,lai,notes.plot,flag.plot,app.mthd,uexper
104,36,164,164,1,1994,1,1,DIAS,DK,,ALFAM1.xlsx,8,19,,,,,,,,79,,1,1,1,12,1990-07-05T13:00:00Z,1990-07-12T08:00:00Z,6,6,24,6,145,wt,wt,Wind tunnel,,0.7467,0.0131,,,4.4802,8.67,13.116,15.868,16.226,16.699,,17.18,,,,,,,,,,,,,0.0786,0.15211,0.23011,0.27837,0.28466,0.29296,,0.3014,10.6,11.8,74.6,2.7,sand,sand,0.279,,wet,6.6,,,No,,,8,7.65,7.4,6.7682,6.9714,,,4.789,10,,,,,,,,,,,,,,,,,,,,,,,,20.6,10.3,6.9,21.389,43.318,,,54.628,,,3.53,3.51,3.5267,3.5539,3.5547,,,3.5748,0.2,,,6.2432,6.2079,6.2373,6.2855,6.2869,,,6.3224,,,,0,0,0,0,0,,,0,,,0,0,0,0,0,,,0,,,,,,,,,,,,cat,Cattle,,None,slurry,None,none,,,5.35,,3.5,1.9,,,0,7.9,FALSE,1990-07-05,,,,,cs,cs,Closed slot,30,57,none,None,0,,,,,bare soil,Bare soil,0,,,"","",cs,104 1
104,36,165,165,1,1994,1,1,DIAS,DK,,ALFAM1.xlsx,20,31,,,,,,,,79,,2,1,1,12,1990-07-05T13:00:00Z,1990-07-12T08:00:00Z,6,6,24,6,145,wt,wt,Wind tunnel,,0.01,0.00017544,,,0.06,1.17,3.567,4.8425,4.076,4.9605,,5.6606,,,,,,,,,,,,,0.0010526,0.020526,0.062579,0.084955,0.071508,0.087027,,0.099308,10.6,11.8,74.6,2.7,sand,sand,0.279,,wet,6.6,,,Yes,,,8,7.65,7.4,6.7682,6.9714,,,4.789,10,,,,,,,,,,,,,,,,,,,,,,,,20.6,10.3,6.9,21.389,43.318,,,54.628,,,3.19,3.195,3.1933,3.1424,3.142,,,2.9371,0.2,,,5.6419,5.6507,5.6478,5.5576,5.5571,,,5.1946,,,,0,0,0,0,0,,,0,,,0,0,0,0,0,,,0,,,,,,,,,,,,cat,Cattle,,None,slurry,None,none,,,5.35,,3.5,1.9,,,0,7.9,FALSE,1990-07-05,,,,,cs,cs,Closed slot,30,57,none,None,0,,,,,bare soil,Bare soil,0,,,"","",cs,104 1
104,62,200,200,1,1999,1,18,DIAS,DK,,ALFAM1.xlsx,300,305,,,,,,,,1,,1,1,1,6,1997-03-17T16:30:00Z,1997-03-26T13:00:00Z,2.25,2.25,73.917,2.25,212.5,micro met,micro met,Micro met,,0.0986,0.0011452,,1.7422,2.5695,3.1004,3.8979,4.0683,4.2387,4.4132,,7.45,,,,,,,,,,,,0.020235,0.029843,0.03601,0.045272,0.047251,0.04923,0.051255,,0.086527,9.5,11,77,1.5,clay,clay,1,,wet,7.76,,,No,,,3.4397,3.4397,-0.65625,-0.65625,-0.65625,,,-0.20926,10,,,5.6948,5.6948,1.6333,1.6333,1.6333,,,0.28063,,,,,,,,,,,0.1,,,440.9,440.9,120.34,120.34,120.34,,,129.45,,,2.7138,2.7138,2.0896,2.0896,2.0896,,,3.5778,2,,,2.7138,2.7138,2.0896,2.0896,2.0896,,,3.5778,,,,0,0,0,0,0,,,29.8,,,0,0,0,0,0,,,0.14024,,,,,,,,,,,,pig,Pig,,None,slurry,None,none,,,1.93,,3.8,3,,,0,7.52,FALSE,1997-03-17,,,,,bsth,band,Band spread or trailing hose,28.7,86.1,none,None,0,,,,,other,Growing crop,5,,,"","",bsth,104 1
108,189,783,783,1,272,1,1,JTI,SE,,ALFAM1.xlsx,3459,3459,,,,,,,,C,,2,1,1,1,1994-04-19T20:00:00Z,1994-04-22T20:00:00Z,72,72,72,72,72,chamber,chamber,Dynamic chamber,,0.001,1.1111e-05,,,,,,,,,,0.072,,,,,,,,,,,,,,,,,,,,8e-04,7.5,,,5,sand,sand,,,wet,,,,No,,,,,,,10.5,,,10.5,1.5,,,,,,,12,,,12,,,,,,,,,,,0,,,,,,,,,,,,,,,,,2.7,,,2.7,2,,,,,,,2.7,,,2.7,,,,,,,,0,,,0,,,,,,,0,,,0,,,,,,,,,,,,pig,Pig,,Straw,slurry,None,none,,,5.8,,4.6,3,,,,6.8,FALSE,1994-04-19,,,,,cs,cs,Closed slot,30,90,none,None,,,,,,bare soil,Bare soil,,,,"","",cs,108 1
108,189,784,784,1,272,1,1,JTI,SE,,ALFAM1.xlsx,3460,3460,,,,,,,,C,,2,2,2,1,1994-04-19T20:00:00Z,1994-04-22T20:00:00Z,72,72,72,72,72,chamber,chamber,Dynamic chamber,,0.001,1.1111e-05,,,,,,,,,,0.072,,,,,,,,,,,,,,,,,,,,8e-04,7.5,,,5,sand,sand,,,wet,,,,No,,,,,,,10.5,,,10.5,1.5,,,,,,,12,,,12,,,,,,,,,,,0,,,,,,,,,,,,,,,,,2.7,,,2.7,2,,,,,,,2.7,,,2.7,,,,,,,,0,,,0,,,,,,,0,,,0,,,,,,,,,,,,pig,Pig,,Straw,slurry,None,none,,,5.8,,4.6,3,,,,6.8,FALSE,1994-04-19,,,,,cs,cs,Closed slot,30,90,none,None,,,,,,bare soil,Bare soil,,,,"","",cs,108 1
108,189,785,785,1,272,1,1,JTI,SE,,ALFAM1.xlsx,3461,3461,,,,,,,,C,,2,3,3,1,1994-04-19T20:00:00Z,1994-04-23T16:00:00Z,92,92,92,92,92,chamber,chamber,Dynamic chamber,,0.03,0.00033333,,,,,,,,,,2.76,,,,,,,,,,,,,,,,,,,,0.030667,7.5,,,5,sand,sand,,,wet,,,,No,,,,,,,,,,10.5,1.5,,,,,,,,,,12,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2.7,2,,,,,,,,,,2.7,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,pig,Pig,,Straw,slurry,None,none,,,5.8,,4.6,3,,,,6.8,FALSE,1994-04-19,,,,,cs,cs,Closed slot,30,90,none,None,,,,,,bare soil,Bare soil,,,,"","",cs,108 1
108,189,786,786,1,272,1,1,JTI,SE,,ALFAM1.xlsx,3462,3462,,,,,,,,D,,3,1,1,1,1994-04-19T20:00:00Z,1994-04-23T10:00:00Z,86,86,86,86,86,chamber,chamber,Dynamic chamber,,0.04,0.00041667,,,,,,,,,,3.44,,,,,,,,,,,,,,,,,,,,0.035833,7.5,,,5,sand,sand,,,wet,,,,No,,,,,,,,,,10,1.5,,,,,,,,,,11.7,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2.6,2,,,,,,,,,,2.6,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,pig,Pig,,Straw,slurry,None,none,,,8.3,,5.4,3.2,,,,6.8,FALSE,1994-04-19,,,,,bsth,band,Band spread or trailing hose,30,96,shallow,Shallow,0,,,,,bare soil,Bare soil,,,,"","",bsth,108 1
108,189,787,787,1,272,1,1,JTI,SE,,ALFAM1.xlsx,3463,3463,,,,,,,,D,,3,2,2,1,1994-04-19T20:00:00Z,1994-04-23T20:00:00Z,96,96,96,96,96,chamber,chamber,Dynamic chamber,,0.04,0.00041667,,,,,,,,,,3.84,,,,,,,,,,,,,,,,,,,,0.04,7.5,,,5,sand,sand,,,wet,,,,No,,,,,,,,,,10,1.5,,,,,,,,,,11.7,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2.6,2,,,,,,,,,,2.6,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,pig,Pig,,Straw,slurry,None,none,,,8.3,,5.4,3.2,,,,6.8,FALSE,1994-04-19,,,,,bsth,band,Band spread or trailing hose,30,96,shallow,Shallow,0,,,,,bare soil,Bare soil,,,,"","",bsth,108 1
108,189,788,788,1,272,1,1,JTI,SE,,ALFAM1.xlsx,3464,3464,,,,,,,,D,,3,3,3,1,1994-04-19T20:00:00Z,1994-04-23T01:00:00Z,77,77,77,77,77,chamber,chamber,Dynamic chamber,,0.03,0.0003125,,,,,,,,,,2.31,,,,,,,,,,,,,,,,,,,,0.024062,7.5,,,5,sand,sand,,,wet,,,,No,,,,,,,,,,10,1.5,,,,,,,,,,11.7,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2.6,2,,,,,,,,,,2.6,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,pig,Pig,,Straw,slurry,None,none,,,8.3,,5.4,3.2,,,,6.8,FALSE,1994-04-19,,,,,bsth,band,Band spread or trailing hose,30,96,shallow,Shallow,0,,,,,bare soil,Bare soil,,,,"","",bsth,108 1
108,189,789,789,1,272,1,1,JTI,SE,,ALFAM1.xlsx,3465,3465,,,,,,,,E,,4,1,1,1,1994-04-19T20:00:00Z,1994-04-23T00:00:00Z,76,76,76,76,76,chamber,chamber,Dynamic chamber,,0.22,0.0022917,,,,,,,,,,16.72,,,,,,,,,,,,,,,,,,,,0.17417,7.5,,,5,sand,sand,,,wet,,,,No,,,,,,,,,,10,1.5,,,,,,,,,,11.5,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2.6,2,,,,,,,,,,2.6,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,pig,Pig,,Straw,slurry,None,none,,,8.3,,5.4,3.2,,,,6.8,FALSE,1994-04-19,,,,,bsth,band,Band spread or trailing hose,30,96,none,None,,,,,,bare soil,Bare soil,,,,"","",bsth,108 1
