inst,eid,pid,pmid,uptake,proj,exper,exper2,institute,country,submitter,file,first.row.in.file.int,last.row.in.file.int,row.in.file.plot,pub.id,pub.info,lat,long,topo,field,plot,plot.area,treat,rep,rep2,n.ints,t.start.p,t.end.p,dt1,dt.min,dt.max,ct.min,ct.max,meas.tech,meas.tech2,meas.tech.orig,meas.tech.det,j.NH31,j.rel1,e.1,e.4,e.6,e.12,e.24,e.48,e.72,e.96,e.168,e.final,e.cum.1,e.cum.4,e.cum.6,e.cum.12,e.cum.24,e.cum.48,e.cum.72,e.cum.96,e.cum.168,e.cum.final,e.rel.1,e.rel.4,e.rel.6,e.rel.12,e.rel.24,e.rel.48,e.rel.72,e.rel.96,e.rel.168,e.rel.final,clay,silt,sand,oc,soil.type,soil.type2,soil.water,soil.water.v,soil.moist,soil.ph,soil.dens,crop.res,till,air.temp.1,air.temp.4,air.temp.6,air.temp.12,air.temp.24,air.temp.48,air.temp.72,air.temp.96,air.temp.168,air.temp.mn,air.temp.z,soil.temp.1,soil.temp.4,soil.temp.6,soil.temp.12,soil.temp.24,soil.temp.48,soil.temp.72,soil.temp.96,soil.temp.168,soil.temp.mn,soil.temp.surf.1,soil.temp.surf.4,soil.temp.surf.6,soil.temp.surf.12,soil.temp.surf.24,soil.temp.surf.48,soil.temp.surf.72,soil.temp.surf.96,soil.temp.surf.168,soil.temp.surf.mn,soil.temp.z,rad.1,rad.4,rad.6,rad.12,rad.24,rad.48,rad.72,rad.96,rad.168,rad.mn,wind.1,wind.4,wind.6,wind.12,wind.24,wind.48,wind.72,wind.96,wind.168,wind.mn,wind.z,wind.2m.1,wind.2m.4,wind.2m.6,wind.2m.12,wind.2m.24,wind.2m.48,wind.2m.72,wind.2m.96,wind.2m.168,wind.2m.mn,wind.loc,rain.1,rain.4,rain.6,rain.12,rain.24,rain.48,rain.72,rain.96,rain.168,rain.tot,rain.rate.1,rain.rate.4,rain.rate.6,rain.rate.12,rain.rate.24,rain.rate.48,rain.rate.72,rain.rate.96,rain.rate.168,rain.rate.mn,rh.1,rh.4,rh.6,rh.12,rh.24,rh.48,rh.72,rh.96,rh.168,rh.mn,far.loc,man.source,man.source.orig,man.source.det,man.bed,man.con,man.trt1,man.trt2,man.trt3,man.stor,man.dm,man.vs,man.tkn,man.tan,man.vfa,man.tic,man.ua,man.ph,acid,date.start,app.start,app.start.orig,app.end,app.end.orig,app.method,app.method2,app.method.orig,app.rate,tan.app,incorp,incorp.orig,time.incorp,man.area,dist.inj,furrow.z,furrow.w,crop,crop.orig,crop.z,crop.area,lai,notes.plot,flag.plot,app.mthd,uexper
103,24,127,127,1,3,2,14,CRPA,IT,,ALFAM1.xlsx,887,902,,,,,,,,3,,3,0,1,16,1995-07-19T15:30:00Z,1995-07-22T15:30:00Z,1,1,12,1,72,wt,wt,Wind tunnel,,3.8934,0.016359,3.8934,6.0768,7.0424,9.7235,14.356,20.616,24.099,,,24.099,,,,,,,,,,,0.016359,0.025533,0.02959,0.040855,0.060321,0.086624,0.10126,,,0.10126,39,45,16,2.47,loam,loam,,,dry,7.6,,,No,,,35,28.75,24.375,25.75,26.333,,,26.333,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,1.75,1.75,1.75,1.75,,,1.75,0.25,,,2.8805,2.8805,2.8805,2.8805,2.8805,,,2.8805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pig,Pig,,None,slurry,None,none,,,0.64,,1.47,1.4,,,,,FALSE,1995-07-19,,,,,os,os,Open slot,170,238,none,None,,,,,,stubble,Stubble,,,,"","",os,103 2
103,25,130,130,1,3,3,15,CRPA,IT,,ALFAM1.xlsx,935,950,,,,,,,,3,,3,0,1,16,1995-09-26T15:30:00Z,1995-09-29T15:30:00Z,1,1,12,1,72,wt,wt,Wind tunnel,,1.6323,0.022208,1.6323,2.9972,4.203,4.5285,8.4876,12.147,12.159,,,12.159,,,,,,,,,,,0.022208,0.040779,0.057184,0.061612,0.11548,0.16527,0.16543,,,0.16543,39,45,16,2.47,loam,loam,,,dry,7.6,,,No,,,24.5,18.25,13.875,15.188,15.792,,,15.792,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,1.77,1.77,1.77,1.77,,,1.77,0.25,,,2.9134,2.9134,2.9134,2.9134,2.9134,,,2.9134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pig,Pig,,None,slurry,None,none,,,2.19,,1.28,0.35,,,,,FALSE,1995-09-26,,,,,os,os,Open slot,210,73.5,none,None,,,,,,stubble,Stubble,,,,"","",os,103 3
103,26,133,133,1,3,4,16,CRPA,IT,,ALFAM1.xlsx,983,998,,,,,,,,3,,3,0,1,16,1995-10-17T15:30:00Z,1995-10-20T15:30:00Z,1,1,12,1,72,wt,wt,Wind tunnel,,0.6757,0.0082503,0.6757,4.7535,6.3535,7.4968,9.2764,10.536,10.712,,,10.712,,,,,,,,,,,0.0082503,0.05804,0.077576,0.091536,0.11326,0.12864,0.13079,,,0.13079,39,45,16,2.47,loam,loam,,,dry,7.6,,,No,,,15.467,12.108,10.829,10.758,9.4822,,,9.4822,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41,1.41,1.41,1.41,1.41,,,1.41,0.25,,,2.3209,2.3209,2.3209,2.3209,2.3209,,,2.3209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pig,Pig,,None,slurry,None,none,,,2.47,,1.25,0.42,,,,,FALSE,1995-10-17,,,,,os,os,Open slot,195,81.9,none,None,,,,,,stubble,Stubble,,,,"","",os,103 4
103,32,154,154,1,4,2,22,CRPA,IT,,ALFAM1.xlsx,1257,1258,,,,,,,,1,,1,1,1,2,1998-10-30T16:00:00Z,1998-11-02T16:00:00Z,24,24,48,24,72,wt,wt,Wind tunnel,,0.077,0.00052168,,,,,1.848,2.9088,3.9696,,,3.9696,,,,,,,,,,,,,,,0.01252,0.019707,0.026894,,,0.026894,26,60,14,0.99,loam,loam,,,wet,7.7,,,No,,,,,11.06,11.06,10.3,,,10.3,2,,,,,13.2,13.2,12.733,,,12.733,,,,,,,,,,,0.15,,,,,,,,,,,,,,,0.61,0.61,0.61,,,0.61,0.25,,,,,1.0041,1.0041,1.0041,,,1.0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pig,Pig,,None,slurry,None,none,,,0.82,,1.86,1.64,,,,7.9,FALSE,1998-10-30,,,,,bsth,band,Band spread or trailing hose,90,147.6,none,None,,,,,,grass,Grass,5,,,"","",bsth,103 2
103,32,155,155,1,4,2,22,CRPA,IT,,ALFAM1.xlsx,1259,1260,,,,,,,,2,,1,2,2,2,1998-10-30T16:00:00Z,1998-11-02T16:00:00Z,24,24,48,24,72,wt,wt,Wind tunnel,,0.1506,0.0010203,,,,,3.6144,5.388,7.1616,,,7.1616,,,,,,,,,,,,,,,0.024488,0.036504,0.04852,,,0.04852,26,60,14,0.99,loam,loam,,,wet,7.7,,,No,,,,,11.06,11.06,10.3,,,10.3,2,,,,,13.2,13.2,12.733,,,12.733,,,,,,,,,,,0.15,,,,,,,,,,,,,,,0.63,0.63,0.63,,,0.63,0.25,,,,,1.037,1.037,1.037,,,1.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pig,Pig,,None,slurry,None,none,,,0.82,,1.86,1.64,,,,7.9,FALSE,1998-10-30,,,,,bsth,band,Band spread or trailing hose,90,147.6,none,None,,,,,,grass,Grass,5,,,"","",bsth,103 2
103,32,156,156,1,4,2,22,CRPA,IT,,ALFAM1.xlsx,1261,1262,,,,,,,,3,,1,3,3,2,1998-10-30T16:00:00Z,1998-11-02T16:00:00Z,24,24,48,24,72,wt,wt,Wind tunnel,,0.0337,0.00022832,,,,,0.8088,1.5024,2.196,,,2.196,,,,,,,,,,,,,,,0.0054797,0.010179,0.014878,,,0.014878,26,60,14,0.99,loam,loam,,,wet,7.7,,,No,,,,,11.06,11.06,10.3,,,10.3,2,,,,,13.2,13.2,12.733,,,12.733,,,,,,,,,,,0.15,,,,,,,,,,,,,,,0.67,0.67,0.67,,,0.67,0.25,,,,,1.1028,1.1028,1.1028,,,1.1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pig,Pig,,None,slurry,None,none,,,0.82,,1.86,1.64,,,,7.9,FALSE,1998-10-30,,,,,bsth,band,Band spread or trailing hose,90,147.6,none,None,,,,,,grass,Grass,5,,,"","",bsth,103 2
103,33,157,157,1,4,3,23,CRPA,IT,,ALFAM1.xlsx,1263,1265,,,,,,,,1,,1,1,1,3,1999-03-25T18:00:00Z,1999-03-29T18:00:00Z,24,24,48,24,96,wt,wt,Wind tunnel,,0.2003,0.0013497,,,,,4.8072,7.3536,9.1178,10.882,,10.882,,,,,,,,,,,,,,,0.032394,0.049553,0.06144,0.073326,,0.073326,39,45,16,2.47,loam,loam,,,wet,7.6,,,No,,,,,10.13,10.195,10.195,,,9.9875,1,,,,,9.6,9.65,9.65,,,9.875,,,,,,,,,,,0.05,,,,,,,,,,,,,,,0.69,0.69,0.69,,,0.69,0.25,,,,,1.1358,1.1358,1.1358,,,1.1358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pig,Pig,,None,slurry,None,none,,,1.08,,2.37,2.12,,,,7.8,FALSE,1999-03-25,,,,,bsth,band,Band spread or trailing hose,70,148.4,none,None,,,,,,bare soil,Bare soil,,,,"","",bsth,103 3
103,33,158,158,1,4,3,23,CRPA,IT,,ALFAM1.xlsx,1266,1268,,,,,,,,2,,1,2,2,3,1999-03-25T18:00:00Z,1999-03-29T18:00:00Z,24,24,48,24,96,wt,wt,Wind tunnel,,0.1326,0.00089353,,,,,3.1824,4.9776,6.372,7.7664,,7.7664,,,,,,,,,,,,,,,0.021445,0.033542,0.042938,0.052334,,0.052334,39,45,16,2.47,loam,loam,,,wet,7.6,,,No,,,,,10.13,10.195,10.195,,,9.9875,1,,,,,9.6,9.65,9.65,,,9.875,,,,,,,,,,,0.05,,,,,,,,,,,,,,,0.74,0.74,0.74,,,0.74,0.25,,,,,1.2181,1.2181,1.2181,,,1.2181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pig,Pig,,None,slurry,None,none,,,1.08,,2.37,2.12,,,,7.8,FALSE,1999-03-25,,,,,bsth,band,Band spread or trailing hose,70,148.4,none,None,,,,,,bare soil,Bare soil,,,,"","",bsth,103 3
103,34,159,159,1,4,4,24,CRPA,IT,,ALFAM1.xlsx,1269,1271,,,,,,,,1,,1,1,1,3,1999-04-07T15:00:00Z,1999-04-10T13:32:00Z,24,22.533,24,24,70.533,wt,wt,Wind tunnel,,0.6042,0.0047056,,,,,14.501,22.01,,,,27.27,,,,,,,,,,,,,,,0.11293,0.17142,,,,0.21238,26,60,14,0.99,loam,loam,,,wet,7.7,,,No,,,,,14.89,12.585,12.347,,,12.347,2,,,,,11.5,11.3,11.14,,,11.14,,,,,,,,,,,0.05,,,,,,,,,,,,,,,0.91,0.91,0.91,,,0.91,0.25,,,,,1.4979,1.4979,1.4979,,,1.4979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pig,Pig,,None,slurry,None,none,,,2.45,,4.87,3.21,,,,7.5,FALSE,1999-04-07,,,,,bsth,band,Band spread or trailing hose,40,128.4,none,None,,,,,,bare soil,Bare soil,,,,"","",bsth,103 4
103,34,160,160,1,4,4,24,CRPA,IT,,ALFAM1.xlsx,1272,1274,,,,,,,,2,,1,2,2,3,1999-04-07T15:00:00Z,1999-04-10T13:32:00Z,24,22.533,24,24,70.533,wt,wt,Wind tunnel,,1.7413,0.013562,,,,,41.791,50.892,,,,57.032,,,,,,,,,,,,,,,0.32548,0.39636,,,,0.44418,26,60,14,0.99,loam,loam,,,wet,7.7,,,No,,,,,14.89,12.585,12.347,,,12.347,2,,,,,11.5,11.3,11.14,,,11.14,,,,,,,,,,,0.05,,,,,,,,,,,,,,,0.84,0.84,0.84,,,0.84,0.25,,,,,1.3827,1.3827,1.3827,,,1.3827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pig,Pig,,None,slurry,None,none,,,2.45,,4.87,3.21,,,,7.5,FALSE,1999-04-07,,,,,bsth,band,Band spread or trailing hose,40,128.4,none,None,,,,,,bare soil,Bare soil,,,,"","",bsth,103 4
